ID;Age;Family_Time;Works;Entertainment;Social_Life;Sleep;Economy
1098;39;26 hours/week;57 hours/week;6 hours;6 hours;7 hours daily;5
1099;32;25 hours/week;56 hours/week;8 hours;8 hours;9 hours daily;5
1100;26;14 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;3
1101;39;8 hours/week;26 hours/week;1 hours;1 hours;6 hours daily;1
1102;40;1 hours/week;13 hours/week;2 hours;2 hours;6 hours daily;1
1103;36;12 hours/week;18 hours/week;1 hours;1 hours;4 hours daily;2
1104;20;4 hours/week;13 hours/week;1 hours;1 hours;6 hours daily;0
1105;38;15 hours/week;35 hours/week;2 hours;2 hours;7 hours daily;3
1106;37;19 hours/week;32 hours/week;6 hours;6 hours;7 hours daily;4
1107;36;23 hours/week;58 hours/week;7 hours;7 hours;7 hours daily;5
1108;27;5 hours/week;23 hours/week;2 hours;2 hours;6 hours daily;1
1109;24;20 hours/week;34 hours/week;2 hours;2 hours;7 hours daily;3
1110;37;14 hours/week;30 hours/week;4 hours;4 hours;7 hours daily;2
1111;38;22 hours/week;43 hours/week;11 hours;6 hours;7 hours daily;5
1112;23;5 hours/week;12 hours/week;2 hours;2 hours;6 hours daily;0
1113;34;15 hours/week;34 hours/week;3 hours;3 hours;6 hours daily;2
1114;34;1 hours/week;22 hours/week;1 hours;1 hours;6 hours daily;0
1115;23;1 hours/week;24 hours/week;1 hours;1 hours;4 hours daily;0
1116;38;13 hours/week;6 hours/week;1 hours;1 hours;3 hours daily;2
1117;26;16 hours/week;36 hours/week;4 hours;4 hours;6 hours daily;4
1118;28;27 hours/week;48 hours/week;7 hours;7 hours;9 hours daily;5
1119;28;3 hours/week;23 hours/week;11 hours;0 hours;4 hours daily;0
1120;20;11 hours/week;11 hours/week;0 hours;0 hours;6 hours daily;0
1121;23;23 hours/week;53 hours/week;6 hours;6 hours;8 hours daily;5
1122;36;7 hours/week;23 hours/week;1 hours;1 hours;6 hours daily;0
1123;36;13 hours/week;27 hours/week;1 hours;1 hours;4 hours daily;2
1124;21;1 hours/week;9 hours/week;2 hours;2 hours;5 hours daily;0
1125;30;19 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;2
1126;25;21 hours/week;31 hours/week;3 hours;3 hours;7 hours daily;4
1127;20;2 hours/week;25 hours/week;2 hours;2 hours;5 hours daily;2
1128;23;15 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;2
1129;38;20 hours/week;40 hours/week;3 hours;3 hours;7 hours daily;4
1130;34;28 hours/week;51 hours/week;10 hours;10 hours;7 hours daily;5
1131;33;6 hours/week;10 hours/week;1 hours;1 hours;4 hours daily;2
1132;37;22 hours/week;58 hours/week;7 hours;7 hours;9 hours daily;5
1133;40;16 hours/week;33 hours/week;6 hours;6 hours;6 hours daily;2
1134;22;23 hours/week;53 hours/week;7 hours;7 hours;7 hours daily;5
1135;27;20 hours/week;36 hours/week;4 hours;4 hours;6 hours daily;4
1136;20;10 hours/week;4 hours/week;1 hours;1 hours;5 hours daily;2
1137;23;10 hours/week;12 hours/week;0 hours;0 hours;4 hours daily;0
1138;25;22 hours/week;45 hours/week;9 hours;9 hours;8 hours daily;5
1139;25;14 hours/week;40 hours/week;4 hours;4 hours;7 hours daily;2
1140;31;25 hours/week;54 hours/week;11 hours;8 hours;7 hours daily;5
1141;24;2 hours/week;9 hours/week;0 hours;0 hours;3 hours daily;2
1142;23;28 hours/week;48 hours/week;10 hours;10 hours;8 hours daily;5
1143;39;21 hours/week;58 hours/week;10 hours;10 hours;9 hours daily;5
1144;22;21 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;4
1145;35;23 hours/week;40 hours/week;9 hours;9 hours;9 hours daily;5
1146;32;9 hours/week;2 hours/week;2 hours;2 hours;6 hours daily;1
1147;28;9 hours/week;25 hours/week;0 hours;0 hours;6 hours daily;0
1148;39;22 hours/week;58 hours/week;9 hours;9 hours;7 hours daily;5
1149;39;6 hours/week;9 hours/week;1 hours;1 hours;6 hours daily;0
1150;29;21 hours/week;40 hours/week;9 hours;9 hours;8 hours daily;5
1151;21;9 hours/week;10 hours/week;1 hours;1 hours;5 hours daily;2
1152;37;7 hours/week;17 hours/week;0 hours;0 hours;3 hours daily;1
1153;37;7 hours/week;22 hours/week;1 hours;1 hours;5 hours daily;0
1154;26;13 hours/week;24 hours/week;2 hours;2 hours;5 hours daily;2
1155;37;6 hours/week;2 hours/week;11 hours;2 hours;4 hours daily;1
1156;26;21 hours/week;30 hours/week;6 hours;6 hours;6 hours daily;4
1157;21;16 hours/week;38 hours/week;4 hours;4 hours;6 hours daily;3
1158;40;21 hours/week;54 hours/week;7 hours;7 hours;8 hours daily;5
1159;25;16 hours/week;38 hours/week;3 hours;3 hours;6 hours daily;4
1160;39;0 hours/week;16 hours/week;2 hours;2 hours;3 hours daily;0
1161;22;27 hours/week;45 hours/week;8 hours;8 hours;8 hours daily;5
1162;31;25 hours/week;41 hours/week;8 hours;8 hours;9 hours daily;5
1163;20;25 hours/week;56 hours/week;6 hours;6 hours;7 hours daily;5
1164;32;15 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;4
1165;35;22 hours/week;41 hours/week;7 hours;7 hours;7 hours daily;5
1166;27;26 hours/week;40 hours/week;9 hours;9 hours;8 hours daily;5
1167;39;27 hours/week;41 hours/week;9 hours;9 hours;9 hours daily;5
1168;33;22 hours/week;54 hours/week;8 hours;8 hours;8 hours daily;5
1169;30;28 hours/week;51 hours/week;7 hours;7 hours;9 hours daily;5
1170;24;22 hours/week;42 hours/week;11 hours;7 hours;7 hours daily;5
1171;30;24 hours/week;54 hours/week;7 hours;7 hours;7 hours daily;5
1172;38;9 hours/week;3 hours/week;0 hours;0 hours;5 hours daily;2
1173;22;11 hours/week;29 hours/week;0 hours;0 hours;4 hours daily;1
1174;31;14 hours/week;10 hours/week;0 hours;0 hours;6 hours daily;0
1175;31;13 hours/week;5 hours/week;2 hours;2 hours;6 hours daily;0
1176;20;14 hours/week;33 hours/week;11 hours;4 hours;7 hours daily;2
1177;26;22 hours/week;53 hours/week;7 hours;7 hours;8 hours daily;5
1178;28;18 hours/week;33 hours/week;4 hours;4 hours;6 hours daily;3
1179;38;14 hours/week;38 hours/week;6 hours;6 hours;6 hours daily;4
1180;35;24 hours/week;60 hours/week;9 hours;9 hours;7 hours daily;5
1181;23;3 hours/week;0 hours/week;1 hours;1 hours;6 hours daily;2
1182;22;7 hours/week;3 hours/week;1 hours;1 hours;6 hours daily;0
1183;31;4 hours/week;2 hours/week;2 hours;2 hours;6 hours daily;1
1184;34;26 hours/week;57 hours/week;8 hours;8 hours;8 hours daily;5
1185;36;20 hours/week;32 hours/week;3 hours;3 hours;7 hours daily;3
1186;23;16 hours/week;31 hours/week;11 hours;2 hours;6 hours daily;3
1187;21;3 hours/week;9 hours/week;1 hours;1 hours;4 hours daily;1
1188;36;25 hours/week;44 hours/week;9 hours;9 hours;7 hours daily;5
1189;20;24 hours/week;49 hours/week;9 hours;9 hours;9 hours daily;5
1190;33;3 hours/week;11 hours/week;2 hours;2 hours;6 hours daily;2
1191;24;7 hours/week;12 hours/week;1 hours;1 hours;4 hours daily;2
1192;40;14 hours/week;13 hours/week;0 hours;0 hours;3 hours daily;2
1193;39;25 hours/week;48 hours/week;10 hours;10 hours;9 hours daily;5
1194;40;26 hours/week;53 hours/week;10 hours;10 hours;8 hours daily;5
1195;33;14 hours/week;32 hours/week;4 hours;4 hours;6 hours daily;4
1196;28;24 hours/week;53 hours/week;7 hours;7 hours;9 hours daily;5
1197;32;6 hours/week;7 hours/week;2 hours;2 hours;3 hours daily;2
1198;33;16 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;4
1199;24;16 hours/week;38 hours/week;5 hours;5 hours;7 hours daily;4
1200;25;9 hours/week;20 hours/week;1 hours;1 hours;5 hours daily;0
1201;22;17 hours/week;40 hours/week;2 hours;2 hours;7 hours daily;4
1202;30;20 hours/week;35 hours/week;3 hours;3 hours;6 hours daily;4
1203;22;8 hours/week;10 hours/week;0 hours;0 hours;4 hours daily;2
1204;30;7 hours/week;2 hours/week;1 hours;1 hours;6 hours daily;0
1205;39;13 hours/week;18 hours/week;2 hours;2 hours;4 hours daily;0
1206;39;28 hours/week;45 hours/week;9 hours;9 hours;7 hours daily;5
1207;33;24 hours/week;59 hours/week;8 hours;8 hours;9 hours daily;5
1208;25;16 hours/week;39 hours/week;4 hours;4 hours;6 hours daily;3
1209;32;4 hours/week;28 hours/week;1 hours;1 hours;4 hours daily;1
1210;25;26 hours/week;44 hours/week;7 hours;7 hours;7 hours daily;5
1211;25;19 hours/week;37 hours/week;3 hours;3 hours;7 hours daily;3
1212;29;21 hours/week;37 hours/week;2 hours;2 hours;6 hours daily;3
1213;20;10 hours/week;21 hours/week;2 hours;2 hours;3 hours daily;2
1214;26;26 hours/week;56 hours/week;6 hours;6 hours;8 hours daily;5
1215;31;12 hours/week;8 hours/week;1 hours;1 hours;4 hours daily;2
1216;39;28 hours/week;56 hours/week;9 hours;9 hours;8 hours daily;5
1217;33;4 hours/week;5 hours/week;2 hours;2 hours;5 hours daily;0
1218;32;22 hours/week;40 hours/week;9 hours;9 hours;8 hours daily;5
1219;35;1 hours/week;6 hours/week;0 hours;0 hours;4 hours daily;2
1220;32;19 hours/week;40 hours/week;3 hours;3 hours;6 hours daily;2
1221;28;15 hours/week;32 hours/week;2 hours;2 hours;7 hours daily;4
1222;25;3 hours/week;26 hours/week;0 hours;0 hours;4 hours daily;2
1223;32;11 hours/week;23 hours/week;11 hours;0 hours;4 hours daily;2
1224;25;15 hours/week;34 hours/week;3 hours;3 hours;6 hours daily;4
1225;35;6 hours/week;17 hours/week;0 hours;0 hours;4 hours daily;0
1226;28;19 hours/week;30 hours/week;4 hours;4 hours;6 hours daily;4
1227;35;17 hours/week;36 hours/week;4 hours;4 hours;7 hours daily;4
1228;36;22 hours/week;46 hours/week;7 hours;7 hours;7 hours daily;5
1229;29;16 hours/week;33 hours/week;2 hours;2 hours;7 hours daily;4
1230;32;3 hours/week;22 hours/week;0 hours;0 hours;3 hours daily;2
1231;36;5 hours/week;10 hours/week;1 hours;1 hours;5 hours daily;1
1232;20;25 hours/week;46 hours/week;9 hours;9 hours;7 hours daily;5
1233;35;11 hours/week;26 hours/week;2 hours;2 hours;3 hours daily;0
1234;39;27 hours/week;55 hours/week;6 hours;6 hours;7 hours daily;5
1235;27;14 hours/week;14 hours/week;1 hours;1 hours;3 hours daily;2
1236;26;10 hours/week;22 hours/week;2 hours;2 hours;6 hours daily;0
1237;27;12 hours/week;19 hours/week;2 hours;2 hours;4 hours daily;1
1238;29;23 hours/week;58 hours/week;8 hours;8 hours;9 hours daily;5
1239;21;17 hours/week;36 hours/week;11 hours;3 hours;6 hours daily;3
1240;22;17 hours/week;31 hours/week;4 hours;4 hours;6 hours daily;3
1241;23;17 hours/week;30 hours/week;4 hours;4 hours;7 hours daily;4
1242;24;15 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;2
1243;27;21 hours/week;38 hours/week;3 hours;3 hours;7 hours daily;4
1244;35;23 hours/week;48 hours/week;7 hours;7 hours;9 hours daily;5
1245;34;15 hours/week;35 hours/week;11 hours;3 hours;6 hours daily;3
1246;32;15 hours/week;37 hours/week;4 hours;4 hours;6 hours daily;3
1247;25;24 hours/week;45 hours/week;9 hours;9 hours;9 hours daily;5
1248;27;21 hours/week;35 hours/week;6 hours;6 hours;7 hours daily;2
1249;23;28 hours/week;49 hours/week;6 hours;6 hours;7 hours daily;5
1250;21;0 hours/week;16 hours/week;2 hours;2 hours;6 hours daily;1
1251;38;23 hours/week;43 hours/week;10 hours;10 hours;8 hours daily;5
1252;25;10 hours/week;8 hours/week;1 hours;1 hours;5 hours daily;2
1253;20;18 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;4
1254;28;16 hours/week;36 hours/week;2 hours;2 hours;6 hours daily;2
1255;24;11 hours/week;30 hours/week;2 hours;2 hours;6 hours daily;0
1256;39;2 hours/week;24 hours/week;1 hours;1 hours;4 hours daily;2
1257;35;24 hours/week;49 hours/week;6 hours;6 hours;7 hours daily;5
1258;37;17 hours/week;40 hours/week;2 hours;2 hours;6 hours daily;4
1259;26;2 hours/week;20 hours/week;1 hours;1 hours;4 hours daily;0
1260;29;8 hours/week;17 hours/week;0 hours;0 hours;4 hours daily;0
1261;34;26 hours/week;60 hours/week;7 hours;7 hours;8 hours daily;5
1262;23;22 hours/week;41 hours/week;10 hours;10 hours;8 hours daily;5
1263;24;19 hours/week;35 hours/week;5 hours;5 hours;6 hours daily;2
1264;34;7 hours/week;27 hours/week;1 hours;1 hours;6 hours daily;1
1265;35;0 hours/week;11 hours/week;11 hours;0 hours;4 hours daily;2
1266;27;25 hours/week;45 hours/week;10 hours;10 hours;8 hours daily;5
1267;25;24 hours/week;53 hours/week;7 hours;7 hours;9 hours daily;5
1268;37;8 hours/week;8 hours/week;1 hours;1 hours;3 hours daily;0
1269;40;27 hours/week;52 hours/week;10 hours;10 hours;9 hours daily;5
1270;27;12 hours/week;22 hours/week;2 hours;2 hours;4 hours daily;2
1271;35;17 hours/week;31 hours/week;5 hours;5 hours;6 hours daily;4
1272;25;12 hours/week;7 hours/week;0 hours;0 hours;3 hours daily;0
1273;33;27 hours/week;50 hours/week;7 hours;7 hours;7 hours daily;5
1274;31;7 hours/week;23 hours/week;2 hours;2 hours;6 hours daily;2
1275;31;11 hours/week;14 hours/week;0 hours;0 hours;3 hours daily;2
1276;26;21 hours/week;42 hours/week;6 hours;6 hours;9 hours daily;5
1277;25;10 hours/week;24 hours/week;0 hours;0 hours;3 hours daily;2
1278;34;24 hours/week;50 hours/week;7 hours;7 hours;7 hours daily;5
1279;28;28 hours/week;57 hours/week;9 hours;9 hours;7 hours daily;5
1280;21;6 hours/week;23 hours/week;2 hours;2 hours;3 hours daily;2
1281;36;13 hours/week;10 hours/week;0 hours;0 hours;3 hours daily;2
1282;32;20 hours/week;33 hours/week;2 hours;2 hours;6 hours daily;3
1283;20;14 hours/week;39 hours/week;2 hours;2 hours;6 hours daily;4
1284;40;5 hours/week;20 hours/week;1 hours;1 hours;5 hours daily;2
1285;37;1 hours/week;5 hours/week;2 hours;2 hours;3 hours daily;0
1286;23;14 hours/week;37 hours/week;5 hours;5 hours;6 hours daily;3
1287;27;25 hours/week;54 hours/week;11 hours;8 hours;8 hours daily;5
1288;31;21 hours/week;52 hours/week;10 hours;10 hours;7 hours daily;5
1289;28;20 hours/week;39 hours/week;3 hours;3 hours;6 hours daily;2
1290;39;21 hours/week;38 hours/week;6 hours;6 hours;7 hours daily;2
1291;38;5 hours/week;17 hours/week;1 hours;1 hours;6 hours daily;2
1292;39;11 hours/week;20 hours/week;2 hours;2 hours;4 hours daily;2
1293;20;16 hours/week;36 hours/week;6 hours;6 hours;6 hours daily;2
1294;20;13 hours/week;12 hours/week;1 hours;1 hours;3 hours daily;0
1295;36;27 hours/week;56 hours/week;9 hours;9 hours;9 hours daily;5
1296;32;20 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;2
1297;38;11 hours/week;6 hours/week;1 hours;1 hours;4 hours daily;1
1298;27;21 hours/week;32 hours/week;4 hours;4 hours;7 hours daily;3
1299;34;1 hours/week;30 hours/week;0 hours;0 hours;3 hours daily;0
1300;36;16 hours/week;38 hours/week;6 hours;6 hours;7 hours daily;3
1301;30;8 hours/week;6 hours/week;2 hours;2 hours;6 hours daily;0
1302;29;23 hours/week;56 hours/week;10 hours;10 hours;7 hours daily;5
1303;30;4 hours/week;14 hours/week;1 hours;1 hours;6 hours daily;1
1304;29;4 hours/week;15 hours/week;0 hours;0 hours;6 hours daily;0
1305;31;27 hours/week;48 hours/week;10 hours;10 hours;7 hours daily;5
1306;37;24 hours/week;50 hours/week;10 hours;10 hours;8 hours daily;5
1307;34;7 hours/week;27 hours/week;1 hours;1 hours;4 hours daily;2
1308;21;21 hours/week;57 hours/week;8 hours;8 hours;9 hours daily;5
1309;34;18 hours/week;38 hours/week;5 hours;5 hours;6 hours daily;2
1310;26;18 hours/week;35 hours/week;5 hours;5 hours;6 hours daily;2
1311;22;3 hours/week;19 hours/week;1 hours;1 hours;6 hours daily;2
1312;20;16 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;3
1313;36;14 hours/week;12 hours/week;0 hours;0 hours;4 hours daily;0
1314;21;20 hours/week;31 hours/week;2 hours;2 hours;6 hours daily;2
1315;24;24 hours/week;52 hours/week;8 hours;8 hours;9 hours daily;5
1316;26;27 hours/week;40 hours/week;11 hours;10 hours;7 hours daily;5
1317;38;26 hours/week;51 hours/week;10 hours;10 hours;9 hours daily;5
1318;30;5 hours/week;6 hours/week;1 hours;1 hours;6 hours daily;1
1319;36;28 hours/week;52 hours/week;9 hours;9 hours;9 hours daily;5
1320;36;6 hours/week;12 hours/week;0 hours;0 hours;6 hours daily;1
1321;25;22 hours/week;49 hours/week;8 hours;8 hours;9 hours daily;5
1322;22;7 hours/week;28 hours/week;1 hours;1 hours;3 hours daily;1
1323;24;14 hours/week;39 hours/week;6 hours;6 hours;6 hours daily;3
1324;30;18 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;4
1325;23;4 hours/week;0 hours/week;0 hours;0 hours;3 hours daily;0
1326;34;15 hours/week;38 hours/week;3 hours;3 hours;6 hours daily;3
1327;34;18 hours/week;32 hours/week;11 hours;6 hours;7 hours daily;4
1328;30;22 hours/week;58 hours/week;9 hours;9 hours;9 hours daily;5
1329;40;0 hours/week;2 hours/week;1 hours;1 hours;3 hours daily;2
1330;25;25 hours/week;55 hours/week;6 hours;6 hours;7 hours daily;5
1331;35;1 hours/week;20 hours/week;1 hours;1 hours;6 hours daily;2
1332;20;15 hours/week;36 hours/week;6 hours;6 hours;7 hours daily;3
1333;36;14 hours/week;26 hours/week;0 hours;0 hours;5 hours daily;1
1334;35;14 hours/week;34 hours/week;2 hours;2 hours;6 hours daily;4
1335;24;8 hours/week;14 hours/week;11 hours;2 hours;5 hours daily;2
1336;23;14 hours/week;1 hours/week;0 hours;0 hours;6 hours daily;1
1337;28;8 hours/week;10 hours/week;1 hours;1 hours;4 hours daily;0
1338;32;14 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;3
1339;23;10 hours/week;4 hours/week;1 hours;1 hours;3 hours daily;0
1340;31;25 hours/week;57 hours/week;11 hours;10 hours;8 hours daily;5
1341;40;28 hours/week;45 hours/week;10 hours;10 hours;7 hours daily;5
1342;27;9 hours/week;9 hours/week;1 hours;1 hours;5 hours daily;0
1343;29;20 hours/week;33 hours/week;4 hours;4 hours;7 hours daily;3
1344;22;18 hours/week;39 hours/week;2 hours;2 hours;7 hours daily;2
1345;20;15 hours/week;36 hours/week;3 hours;3 hours;6 hours daily;2
1346;31;10 hours/week;17 hours/week;0 hours;0 hours;5 hours daily;1
1347;39;25 hours/week;53 hours/week;9 hours;9 hours;7 hours daily;5
1348;21;8 hours/week;13 hours/week;1 hours;1 hours;4 hours daily;1
1349;34;23 hours/week;41 hours/week;7 hours;7 hours;8 hours daily;5
1350;35;17 hours/week;30 hours/week;4 hours;4 hours;6 hours daily;2
1351;24;27 hours/week;43 hours/week;8 hours;8 hours;8 hours daily;5
1352;40;18 hours/week;31 hours/week;6 hours;6 hours;6 hours daily;4
1353;23;11 hours/week;19 hours/week;1 hours;1 hours;3 hours daily;0
1354;32;4 hours/week;19 hours/week;2 hours;2 hours;6 hours daily;2
1355;21;4 hours/week;1 hours/week;2 hours;2 hours;4 hours daily;0
1356;35;28 hours/week;51 hours/week;6 hours;6 hours;9 hours daily;5
1357;30;21 hours/week;35 hours/week;3 hours;3 hours;7 hours daily;4
1358;29;19 hours/week;32 hours/week;5 hours;5 hours;7 hours daily;4
1359;35;21 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;3
1360;22;23 hours/week;48 hours/week;9 hours;9 hours;9 hours daily;5
1361;25;8 hours/week;20 hours/week;0 hours;0 hours;3 hours daily;2
1362;25;2 hours/week;21 hours/week;2 hours;2 hours;3 hours daily;2
1363;36;17 hours/week;36 hours/week;4 hours;4 hours;7 hours daily;2
1364;23;28 hours/week;46 hours/week;9 hours;9 hours;7 hours daily;5
1365;26;28 hours/week;59 hours/week;10 hours;10 hours;9 hours daily;5
1366;36;20 hours/week;31 hours/week;2 hours;2 hours;6 hours daily;3
1367;30;14 hours/week;20 hours/week;2 hours;2 hours;5 hours daily;0
1368;22;5 hours/week;6 hours/week;2 hours;2 hours;4 hours daily;0
1369;23;21 hours/week;40 hours/week;4 hours;4 hours;7 hours daily;3
1370;24;21 hours/week;36 hours/week;3 hours;3 hours;6 hours daily;3
1371;29;0 hours/week;17 hours/week;2 hours;2 hours;4 hours daily;2
1372;30;25 hours/week;42 hours/week;9 hours;9 hours;9 hours daily;5
1373;38;24 hours/week;45 hours/week;8 hours;8 hours;7 hours daily;5
1374;24;13 hours/week;16 hours/week;0 hours;0 hours;5 hours daily;1
1375;29;24 hours/week;60 hours/week;6 hours;6 hours;8 hours daily;5
1376;39;21 hours/week;44 hours/week;6 hours;6 hours;7 hours daily;5
1377;21;9 hours/week;24 hours/week;1 hours;1 hours;5 hours daily;0
1378;35;20 hours/week;35 hours/week;4 hours;4 hours;6 hours daily;2
1379;37;19 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;4
1380;32;19 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;3
1381;24;23 hours/week;43 hours/week;8 hours;8 hours;9 hours daily;5
1382;30;16 hours/week;30 hours/week;4 hours;4 hours;6 hours daily;3
1383;29;21 hours/week;31 hours/week;4 hours;4 hours;6 hours daily;4
1384;38;12 hours/week;13 hours/week;0 hours;0 hours;6 hours daily;0
1385;30;4 hours/week;19 hours/week;0 hours;0 hours;6 hours daily;2
1386;39;26 hours/week;59 hours/week;8 hours;8 hours;7 hours daily;5
1387;27;15 hours/week;37 hours/week;3 hours;3 hours;6 hours daily;4
1388;29;8 hours/week;20 hours/week;1 hours;1 hours;3 hours daily;1
1389;25;26 hours/week;55 hours/week;10 hours;10 hours;7 hours daily;5
1390;35;19 hours/week;38 hours/week;3 hours;3 hours;6 hours daily;3
1391;33;16 hours/week;33 hours/week;5 hours;5 hours;7 hours daily;3
1392;34;14 hours/week;34 hours/week;2 hours;2 hours;7 hours daily;4
1393;21;9 hours/week;29 hours/week;1 hours;1 hours;6 hours daily;0
1394;27;18 hours/week;30 hours/week;3 hours;3 hours;6 hours daily;2
1395;27;28 hours/week;58 hours/week;7 hours;7 hours;9 hours daily;5
1396;39;9 hours/week;18 hours/week;11 hours;1 hours;3 hours daily;1
1397;21;9 hours/week;23 hours/week;0 hours;0 hours;3 hours daily;1
1398;30;22 hours/week;50 hours/week;6 hours;6 hours;7 hours daily;5
1399;24;10 hours/week;11 hours/week;1 hours;1 hours;6 hours daily;0
1400;21;14 hours/week;15 hours/week;0 hours;0 hours;4 hours daily;0
1401;40;4 hours/week;19 hours/week;2 hours;2 hours;6 hours daily;2
1402;24;22 hours/week;57 hours/week;6 hours;6 hours;7 hours daily;5
1403;37;9 hours/week;19 hours/week;0 hours;0 hours;5 hours daily;0
1404;36;1 hours/week;29 hours/week;1 hours;1 hours;3 hours daily;0
1405;32;17 hours/week;30 hours/week;6 hours;6 hours;7 hours daily;2
1406;39;5 hours/week;30 hours/week;11 hours;1 hours;6 hours daily;1
1407;20;20 hours/week;33 hours/week;3 hours;3 hours;7 hours daily;3
1408;23;4 hours/week;20 hours/week;0 hours;0 hours;5 hours daily;2
1409;23;8 hours/week;8 hours/week;2 hours;2 hours;5 hours daily;0
1410;28;25 hours/week;40 hours/week;9 hours;9 hours;7 hours daily;5
1411;27;18 hours/week;32 hours/week;2 hours;2 hours;7 hours daily;2
1412;32;22 hours/week;53 hours/week;7 hours;7 hours;8 hours daily;5
1413;31;24 hours/week;45 hours/week;9 hours;9 hours;7 hours daily;5
1414;26;14 hours/week;1 hours/week;1 hours;1 hours;4 hours daily;2
1415;20;15 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;3
1416;23;22 hours/week;53 hours/week;6 hours;6 hours;7 hours daily;5
1417;34;4 hours/week;10 hours/week;0 hours;0 hours;4 hours daily;2
1418;21;18 hours/week;32 hours/week;3 hours;3 hours;7 hours daily;2
1419;36;8 hours/week;13 hours/week;2 hours;2 hours;5 hours daily;1
1420;26;16 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;4
1421;32;25 hours/week;42 hours/week;7 hours;7 hours;8 hours daily;5
1422;35;22 hours/week;46 hours/week;7 hours;7 hours;9 hours daily;5
1423;26;17 hours/week;31 hours/week;4 hours;4 hours;7 hours daily;3
1424;33;12 hours/week;15 hours/week;11 hours;0 hours;5 hours daily;1
1425;25;21 hours/week;42 hours/week;10 hours;10 hours;8 hours daily;5
1426;20;28 hours/week;42 hours/week;9 hours;9 hours;8 hours daily;5
1427;29;25 hours/week;43 hours/week;11 hours;9 hours;9 hours daily;5
1428;35;10 hours/week;1 hours/week;1 hours;1 hours;6 hours daily;0
1429;36;21 hours/week;37 hours/week;3 hours;3 hours;6 hours daily;2
1430;31;24 hours/week;57 hours/week;6 hours;6 hours;7 hours daily;5
1431;21;24 hours/week;56 hours/week;6 hours;6 hours;8 hours daily;5
1432;34;7 hours/week;0 hours/week;2 hours;2 hours;4 hours daily;2
1433;32;28 hours/week;44 hours/week;6 hours;6 hours;9 hours daily;5
1434;30;14 hours/week;37 hours/week;4 hours;4 hours;7 hours daily;3
1435;34;17 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;4
1436;31;8 hours/week;19 hours/week;11 hours;0 hours;5 hours daily;0
1437;28;21 hours/week;31 hours/week;6 hours;6 hours;7 hours daily;3
1438;26;4 hours/week;22 hours/week;1 hours;1 hours;4 hours daily;2
1439;22;7 hours/week;22 hours/week;11 hours;1 hours;3 hours daily;2
1440;22;21 hours/week;53 hours/week;10 hours;10 hours;7 hours daily;5
1441;29;15 hours/week;31 hours/week;5 hours;5 hours;6 hours daily;3
1442;34;7 hours/week;19 hours/week;0 hours;0 hours;3 hours daily;2
1443;31;13 hours/week;26 hours/week;2 hours;2 hours;3 hours daily;0
1444;20;19 hours/week;35 hours/week;6 hours;6 hours;7 hours daily;4
1445;22;15 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;3
1446;36;12 hours/week;18 hours/week;2 hours;2 hours;5 hours daily;1
1447;40;6 hours/week;11 hours/week;2 hours;2 hours;4 hours daily;2
1448;35;25 hours/week;58 hours/week;9 hours;9 hours;9 hours daily;5
1449;40;19 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;3
1450;28;22 hours/week;42 hours/week;7 hours;7 hours;7 hours daily;5
1451;36;4 hours/week;20 hours/week;0 hours;0 hours;4 hours daily;2
1452;25;21 hours/week;51 hours/week;11 hours;6 hours;8 hours daily;5
1453;30;12 hours/week;13 hours/week;2 hours;2 hours;4 hours daily;1
1454;27;11 hours/week;21 hours/week;1 hours;1 hours;5 hours daily;2
1455;36;24 hours/week;59 hours/week;10 hours;10 hours;7 hours daily;5
1456;40;24 hours/week;44 hours/week;8 hours;8 hours;9 hours daily;5
1457;22;27 hours/week;46 hours/week;11 hours;8 hours;7 hours daily;5
1458;37;20 hours/week;39 hours/week;5 hours;5 hours;6 hours daily;3
1459;25;21 hours/week;57 hours/week;9 hours;9 hours;7 hours daily;5
1460;22;27 hours/week;42 hours/week;6 hours;6 hours;8 hours daily;5
1461;37;23 hours/week;58 hours/week;10 hours;10 hours;9 hours daily;5
1462;37;21 hours/week;47 hours/week;8 hours;8 hours;8 hours daily;5
1463;28;12 hours/week;24 hours/week;2 hours;2 hours;5 hours daily;0
1464;26;27 hours/week;43 hours/week;9 hours;9 hours;8 hours daily;5
