ID;Age;Family_Time;Works;Entertainment;Social_Life;Sleep;Economy
2794;33;28 hours/week;53 hours/week;10 hours;10 hours;9 hours daily;5
2795;38;11 hours/week;0 hours/week;2 hours;2 hours;6 hours daily;0
2796;33;12 hours/week;9 hours/week;0 hours;0 hours;6 hours daily;0
2797;20;25 hours/week;48 hours/week;7 hours;7 hours;9 hours daily;5
2798;21;19 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;3
2799;39;23 hours/week;54 hours/week;6 hours;6 hours;8 hours daily;5
2800;26;3 hours/week;18 hours/week;1 hours;1 hours;3 hours daily;1
2801;35;16 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;3
2802;29;27 hours/week;56 hours/week;6 hours;6 hours;7 hours daily;5
2803;38;11 hours/week;16 hours/week;0 hours;0 hours;6 hours daily;1
2804;36;16 hours/week;38 hours/week;6 hours;6 hours;6 hours daily;4
2805;24;4 hours/week;23 hours/week;0 hours;0 hours;5 hours daily;1
2806;25;5 hours/week;26 hours/week;2 hours;2 hours;5 hours daily;0
2807;36;27 hours/week;44 hours/week;10 hours;10 hours;9 hours daily;5
2808;20;9 hours/week;11 hours/week;2 hours;2 hours;4 hours daily;2
2809;23;21 hours/week;35 hours/week;4 hours;4 hours;7 hours daily;4
2810;23;16 hours/week;36 hours/week;11 hours;3 hours;7 hours daily;2
2811;35;18 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;3
2812;32;13 hours/week;20 hours/week;0 hours;0 hours;5 hours daily;1
2813;33;20 hours/week;39 hours/week;6 hours;6 hours;7 hours daily;2
2814;21;15 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;2
2815;29;27 hours/week;42 hours/week;9 hours;9 hours;8 hours daily;5
2816;23;4 hours/week;2 hours/week;0 hours;0 hours;5 hours daily;2
2817;34;25 hours/week;45 hours/week;9 hours;9 hours;9 hours daily;5
2818;27;3 hours/week;6 hours/week;1 hours;1 hours;5 hours daily;1
2819;35;19 hours/week;40 hours/week;5 hours;5 hours;6 hours daily;3
2820;37;21 hours/week;50 hours/week;8 hours;8 hours;8 hours daily;5
2821;31;21 hours/week;30 hours/week;6 hours;6 hours;7 hours daily;2
2822;20;16 hours/week;33 hours/week;5 hours;5 hours;7 hours daily;4
2823;33;15 hours/week;39 hours/week;5 hours;5 hours;6 hours daily;2
2824;36;24 hours/week;51 hours/week;10 hours;10 hours;9 hours daily;5
2825;24;3 hours/week;21 hours/week;2 hours;2 hours;4 hours daily;2
2826;26;23 hours/week;55 hours/week;10 hours;10 hours;7 hours daily;5
2827;32;26 hours/week;41 hours/week;10 hours;10 hours;7 hours daily;5
2828;28;20 hours/week;34 hours/week;3 hours;3 hours;7 hours daily;2
2829;30;16 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;3
2830;31;7 hours/week;23 hours/week;2 hours;2 hours;6 hours daily;1
2831;35;15 hours/week;30 hours/week;2 hours;2 hours;7 hours daily;4
2832;26;21 hours/week;41 hours/week;7 hours;7 hours;9 hours daily;5
2833;29;17 hours/week;34 hours/week;6 hours;6 hours;6 hours daily;4
2834;30;16 hours/week;34 hours/week;3 hours;3 hours;6 hours daily;2
2835;32;21 hours/week;56 hours/week;9 hours;9 hours;8 hours daily;5
2836;33;26 hours/week;47 hours/week;6 hours;6 hours;7 hours daily;5
2837;27;21 hours/week;45 hours/week;9 hours;9 hours;7 hours daily;5
2838;31;17 hours/week;32 hours/week;6 hours;6 hours;7 hours daily;3
2839;40;20 hours/week;34 hours/week;6 hours;6 hours;6 hours daily;2
2840;23;10 hours/week;14 hours/week;1 hours;1 hours;6 hours daily;1
2841;24;21 hours/week;39 hours/week;5 hours;5 hours;6 hours daily;2
2842;25;5 hours/week;30 hours/week;1 hours;1 hours;3 hours daily;0
2843;36;25 hours/week;58 hours/week;10 hours;10 hours;9 hours daily;5
2844;29;17 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;3
2845;37;21 hours/week;43 hours/week;7 hours;7 hours;9 hours daily;5
2846;38;21 hours/week;40 hours/week;6 hours;6 hours;8 hours daily;5
2847;37;21 hours/week;52 hours/week;10 hours;10 hours;8 hours daily;5
2848;26;15 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;3
2849;22;27 hours/week;42 hours/week;8 hours;8 hours;8 hours daily;5
2850;22;10 hours/week;3 hours/week;1 hours;1 hours;5 hours daily;2
2851;36;5 hours/week;10 hours/week;1 hours;1 hours;5 hours daily;0
2852;40;17 hours/week;35 hours/week;4 hours;4 hours;7 hours daily;4
2853;37;17 hours/week;39 hours/week;6 hours;6 hours;6 hours daily;4
2854;29;26 hours/week;45 hours/week;7 hours;7 hours;7 hours daily;5
2855;20;2 hours/week;2 hours/week;2 hours;2 hours;5 hours daily;2
2856;27;21 hours/week;34 hours/week;3 hours;3 hours;7 hours daily;3
2857;38;1 hours/week;22 hours/week;1 hours;1 hours;5 hours daily;0
2858;38;22 hours/week;43 hours/week;6 hours;6 hours;8 hours daily;5
2859;26;5 hours/week;0 hours/week;0 hours;0 hours;4 hours daily;2
2860;35;21 hours/week;30 hours/week;2 hours;2 hours;6 hours daily;2
2861;21;12 hours/week;25 hours/week;2 hours;2 hours;4 hours daily;0
2862;38;18 hours/week;31 hours/week;6 hours;6 hours;6 hours daily;3
2863;28;26 hours/week;41 hours/week;9 hours;9 hours;8 hours daily;5
2864;27;13 hours/week;6 hours/week;0 hours;0 hours;4 hours daily;1
2865;33;14 hours/week;32 hours/week;6 hours;6 hours;6 hours daily;2
2866;29;24 hours/week;42 hours/week;8 hours;8 hours;9 hours daily;5
2867;32;19 hours/week;38 hours/week;4 hours;4 hours;6 hours daily;4
2868;40;26 hours/week;55 hours/week;10 hours;10 hours;7 hours daily;5
2869;29;26 hours/week;47 hours/week;7 hours;7 hours;7 hours daily;5
2870;38;0 hours/week;0 hours/week;1 hours;1 hours;3 hours daily;2
2871;31;14 hours/week;37 hours/week;4 hours;4 hours;7 hours daily;4
2872;30;20 hours/week;40 hours/week;2 hours;2 hours;7 hours daily;4
2873;30;13 hours/week;14 hours/week;2 hours;2 hours;4 hours daily;0
2874;21;3 hours/week;29 hours/week;2 hours;2 hours;3 hours daily;0
2875;30;9 hours/week;1 hours/week;2 hours;2 hours;5 hours daily;1
2876;37;24 hours/week;42 hours/week;9 hours;9 hours;7 hours daily;5
2877;33;8 hours/week;20 hours/week;11 hours;2 hours;4 hours daily;0
2878;36;27 hours/week;50 hours/week;9 hours;9 hours;8 hours daily;5
2879;21;16 hours/week;39 hours/week;2 hours;2 hours;6 hours daily;4
2880;26;7 hours/week;1 hours/week;2 hours;2 hours;3 hours daily;1
2881;22;15 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;3
2882;31;12 hours/week;19 hours/week;1 hours;1 hours;6 hours daily;2
2883;25;14 hours/week;26 hours/week;1 hours;1 hours;4 hours daily;2
2884;26;26 hours/week;42 hours/week;6 hours;6 hours;8 hours daily;5
2885;30;13 hours/week;7 hours/week;1 hours;1 hours;5 hours daily;1
2886;32;11 hours/week;12 hours/week;2 hours;2 hours;5 hours daily;2
2887;25;11 hours/week;9 hours/week;0 hours;0 hours;3 hours daily;1
2888;24;25 hours/week;55 hours/week;6 hours;6 hours;7 hours daily;5
2889;36;9 hours/week;14 hours/week;0 hours;0 hours;6 hours daily;1
2890;20;1 hours/week;4 hours/week;2 hours;2 hours;6 hours daily;1
2891;35;19 hours/week;35 hours/week;3 hours;3 hours;6 hours daily;2
2892;33;6 hours/week;1 hours/week;0 hours;0 hours;5 hours daily;0
2893;36;3 hours/week;15 hours/week;2 hours;2 hours;3 hours daily;0
2894;35;2 hours/week;25 hours/week;2 hours;2 hours;4 hours daily;0
2895;33;18 hours/week;34 hours/week;2 hours;2 hours;7 hours daily;2
2896;26;8 hours/week;4 hours/week;1 hours;1 hours;3 hours daily;0
2897;31;9 hours/week;24 hours/week;1 hours;1 hours;5 hours daily;2
2898;24;20 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;2
2899;37;25 hours/week;50 hours/week;6 hours;6 hours;8 hours daily;5
2900;24;22 hours/week;49 hours/week;11 hours;8 hours;7 hours daily;5
2901;33;24 hours/week;58 hours/week;6 hours;6 hours;9 hours daily;5
2902;30;27 hours/week;57 hours/week;11 hours;9 hours;7 hours daily;5
2903;33;21 hours/week;49 hours/week;8 hours;8 hours;8 hours daily;5
2904;37;3 hours/week;12 hours/week;1 hours;1 hours;4 hours daily;2
2905;22;10 hours/week;25 hours/week;2 hours;2 hours;6 hours daily;1
2906;36;27 hours/week;51 hours/week;7 hours;7 hours;8 hours daily;5
2907;22;19 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;4
2908;40;8 hours/week;29 hours/week;2 hours;2 hours;4 hours daily;1
2909;21;22 hours/week;57 hours/week;10 hours;10 hours;9 hours daily;5
2910;20;15 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;2
2911;20;17 hours/week;33 hours/week;2 hours;2 hours;7 hours daily;4
2912;30;18 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;2
2913;36;5 hours/week;21 hours/week;2 hours;2 hours;3 hours daily;1
2914;33;7 hours/week;20 hours/week;0 hours;0 hours;3 hours daily;2
2915;40;9 hours/week;1 hours/week;0 hours;0 hours;5 hours daily;2
2916;34;1 hours/week;1 hours/week;2 hours;2 hours;5 hours daily;0
2917;21;11 hours/week;28 hours/week;0 hours;0 hours;6 hours daily;0
2918;24;19 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;4
2919;37;20 hours/week;35 hours/week;6 hours;6 hours;7 hours daily;4
2920;40;2 hours/week;2 hours/week;2 hours;2 hours;5 hours daily;2
2921;22;6 hours/week;20 hours/week;0 hours;0 hours;5 hours daily;2
2922;35;7 hours/week;11 hours/week;0 hours;0 hours;4 hours daily;2
2923;22;11 hours/week;3 hours/week;2 hours;2 hours;6 hours daily;2
2924;37;22 hours/week;44 hours/week;10 hours;10 hours;7 hours daily;5
2925;40;18 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;2
2926;22;22 hours/week;50 hours/week;6 hours;6 hours;8 hours daily;5
2927;24;26 hours/week;41 hours/week;10 hours;10 hours;8 hours daily;5
2928;36;14 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;3
2929;25;11 hours/week;3 hours/week;1 hours;1 hours;5 hours daily;2
2930;22;24 hours/week;40 hours/week;8 hours;8 hours;8 hours daily;5
2931;34;6 hours/week;10 hours/week;1 hours;1 hours;4 hours daily;2
2932;29;18 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;4
2933;31;21 hours/week;40 hours/week;9 hours;9 hours;9 hours daily;5
2934;37;16 hours/week;35 hours/week;5 hours;5 hours;6 hours daily;3
2935;21;24 hours/week;42 hours/week;9 hours;9 hours;7 hours daily;5
2936;37;15 hours/week;30 hours/week;6 hours;6 hours;6 hours daily;4
2937;36;14 hours/week;5 hours/week;2 hours;2 hours;6 hours daily;2
2938;27;26 hours/week;49 hours/week;7 hours;7 hours;7 hours daily;5
2939;35;28 hours/week;55 hours/week;6 hours;6 hours;7 hours daily;5
2940;36;19 hours/week;33 hours/week;6 hours;6 hours;7 hours daily;3
2941;27;17 hours/week;37 hours/week;4 hours;4 hours;7 hours daily;2
2942;36;24 hours/week;44 hours/week;10 hours;10 hours;9 hours daily;5
2943;30;21 hours/week;58 hours/week;7 hours;7 hours;8 hours daily;5
2944;34;15 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;2
2945;24;9 hours/week;19 hours/week;0 hours;0 hours;5 hours daily;2
2946;26;1 hours/week;1 hours/week;1 hours;1 hours;4 hours daily;2
2947;27;24 hours/week;60 hours/week;8 hours;8 hours;7 hours daily;5
2948;38;14 hours/week;31 hours/week;4 hours;4 hours;6 hours daily;2
2949;24;2 hours/week;12 hours/week;1 hours;1 hours;4 hours daily;2
2950;21;15 hours/week;33 hours/week;2 hours;2 hours;6 hours daily;3
2951;35;16 hours/week;30 hours/week;4 hours;4 hours;7 hours daily;4
2952;22;25 hours/week;46 hours/week;6 hours;6 hours;8 hours daily;5
2953;35;7 hours/week;30 hours/week;1 hours;1 hours;5 hours daily;1
2954;21;27 hours/week;59 hours/week;9 hours;9 hours;7 hours daily;5
2955;39;13 hours/week;26 hours/week;0 hours;0 hours;3 hours daily;0
2956;37;10 hours/week;11 hours/week;0 hours;0 hours;5 hours daily;1
2957;27;0 hours/week;29 hours/week;2 hours;2 hours;3 hours daily;1
2958;24;26 hours/week;54 hours/week;8 hours;8 hours;9 hours daily;5
2959;37;19 hours/week;38 hours/week;2 hours;2 hours;7 hours daily;3
2960;25;1 hours/week;23 hours/week;11 hours;2 hours;3 hours daily;1
2961;32;1 hours/week;13 hours/week;1 hours;1 hours;5 hours daily;0
2962;32;4 hours/week;12 hours/week;1 hours;1 hours;5 hours daily;2
2963;38;9 hours/week;1 hours/week;1 hours;1 hours;4 hours daily;2
2964;30;10 hours/week;18 hours/week;2 hours;2 hours;5 hours daily;0
2965;24;20 hours/week;30 hours/week;3 hours;3 hours;6 hours daily;2
2966;37;10 hours/week;17 hours/week;0 hours;0 hours;3 hours daily;1
2967;29;27 hours/week;56 hours/week;7 hours;7 hours;9 hours daily;5
2968;35;14 hours/week;26 hours/week;0 hours;0 hours;4 hours daily;0
2969;34;20 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;4
2970;30;0 hours/week;22 hours/week;0 hours;0 hours;5 hours daily;0
2971;21;27 hours/week;47 hours/week;9 hours;9 hours;7 hours daily;5
2972;26;18 hours/week;36 hours/week;6 hours;6 hours;7 hours daily;2
2973;34;4 hours/week;23 hours/week;0 hours;0 hours;3 hours daily;1
2974;27;18 hours/week;31 hours/week;6 hours;6 hours;6 hours daily;3
2975;39;18 hours/week;31 hours/week;6 hours;6 hours;6 hours daily;3
2976;36;20 hours/week;39 hours/week;6 hours;6 hours;6 hours daily;2
2977;40;10 hours/week;14 hours/week;2 hours;2 hours;6 hours daily;2
2978;38;22 hours/week;45 hours/week;7 hours;7 hours;8 hours daily;5
2979;29;2 hours/week;11 hours/week;0 hours;0 hours;4 hours daily;0
2980;35;8 hours/week;26 hours/week;2 hours;2 hours;4 hours daily;0
2981;38;21 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;3
2982;35;0 hours/week;17 hours/week;2 hours;2 hours;4 hours daily;1
2983;32;25 hours/week;51 hours/week;6 hours;6 hours;9 hours daily;5
2984;38;0 hours/week;26 hours/week;1 hours;1 hours;6 hours daily;2
2985;30;14 hours/week;34 hours/week;5 hours;5 hours;7 hours daily;2
2986;31;22 hours/week;41 hours/week;7 hours;7 hours;7 hours daily;5
2987;33;12 hours/week;19 hours/week;1 hours;1 hours;6 hours daily;2
2988;34;20 hours/week;38 hours/week;4 hours;4 hours;6 hours daily;2
2989;26;0 hours/week;20 hours/week;1 hours;1 hours;6 hours daily;0
2990;33;14 hours/week;33 hours/week;2 hours;2 hours;7 hours daily;3
2991;36;14 hours/week;24 hours/week;2 hours;2 hours;3 hours daily;2
2992;36;20 hours/week;39 hours/week;3 hours;3 hours;7 hours daily;2
2993;20;15 hours/week;36 hours/week;2 hours;2 hours;6 hours daily;3
2994;29;23 hours/week;50 hours/week;10 hours;10 hours;7 hours daily;5
2995;28;8 hours/week;23 hours/week;1 hours;1 hours;3 hours daily;2
2996;21;2 hours/week;18 hours/week;0 hours;0 hours;3 hours daily;2
2997;36;21 hours/week;31 hours/week;5 hours;5 hours;6 hours daily;4
2998;28;24 hours/week;58 hours/week;8 hours;8 hours;7 hours daily;5
2999;26;28 hours/week;43 hours/week;6 hours;6 hours;7 hours daily;5
3000;30;28 hours/week;46 hours/week;9 hours;9 hours;9 hours daily;5
3001;27;7 hours/week;15 hours/week;0 hours;0 hours;6 hours daily;0
3002;23;3 hours/week;21 hours/week;2 hours;2 hours;5 hours daily;2
3003;26;22 hours/week;53 hours/week;10 hours;10 hours;8 hours daily;5
3004;36;23 hours/week;50 hours/week;6 hours;6 hours;9 hours daily;5
3005;29;21 hours/week;60 hours/week;9 hours;9 hours;8 hours daily;5
3006;25;7 hours/week;7 hours/week;2 hours;2 hours;5 hours daily;2
3007;20;5 hours/week;14 hours/week;2 hours;2 hours;4 hours daily;2
3008;33;28 hours/week;49 hours/week;6 hours;6 hours;8 hours daily;5
3009;20;19 hours/week;34 hours/week;6 hours;6 hours;6 hours daily;4
3010;22;3 hours/week;14 hours/week;1 hours;1 hours;3 hours daily;1
3011;40;25 hours/week;43 hours/week;8 hours;8 hours;7 hours daily;5
3012;25;3 hours/week;28 hours/week;0 hours;0 hours;3 hours daily;0
3013;28;12 hours/week;16 hours/week;0 hours;0 hours;5 hours daily;2
3014;28;18 hours/week;40 hours/week;6 hours;6 hours;6 hours daily;4
3015;23;2 hours/week;11 hours/week;1 hours;1 hours;3 hours daily;0
3016;36;8 hours/week;0 hours/week;1 hours;1 hours;4 hours daily;0
3017;37;9 hours/week;29 hours/week;11 hours;2 hours;6 hours daily;1
3018;27;15 hours/week;40 hours/week;3 hours;3 hours;7 hours daily;3
3019;34;15 hours/week;38 hours/week;6 hours;6 hours;7 hours daily;2
3020;28;14 hours/week;13 hours/week;0 hours;0 hours;4 hours daily;0
3021;20;28 hours/week;43 hours/week;8 hours;8 hours;9 hours daily;5
3022;20;28 hours/week;56 hours/week;6 hours;6 hours;8 hours daily;5
3023;24;27 hours/week;41 hours/week;10 hours;10 hours;7 hours daily;5
3024;30;12 hours/week;26 hours/week;1 hours;1 hours;3 hours daily;2
3025;36;4 hours/week;10 hours/week;1 hours;1 hours;6 hours daily;2
3026;27;26 hours/week;57 hours/week;8 hours;8 hours;8 hours daily;5
3027;40;14 hours/week;28 hours/week;1 hours;1 hours;5 hours daily;2
3028;30;20 hours/week;34 hours/week;2 hours;2 hours;6 hours daily;2
3029;40;4 hours/week;4 hours/week;1 hours;1 hours;5 hours daily;2
3030;33;25 hours/week;58 hours/week;10 hours;10 hours;8 hours daily;5
3031;21;9 hours/week;5 hours/week;1 hours;1 hours;5 hours daily;1
3032;21;7 hours/week;5 hours/week;0 hours;0 hours;3 hours daily;2
3033;38;3 hours/week;12 hours/week;0 hours;0 hours;3 hours daily;1
3034;21;0 hours/week;7 hours/week;0 hours;0 hours;4 hours daily;1
3035;26;21 hours/week;43 hours/week;10 hours;10 hours;9 hours daily;5
3036;37;17 hours/week;37 hours/week;2 hours;2 hours;6 hours daily;4
3037;20;7 hours/week;3 hours/week;1 hours;1 hours;4 hours daily;2
3038;20;5 hours/week;21 hours/week;1 hours;1 hours;6 hours daily;0
3039;37;1 hours/week;14 hours/week;0 hours;0 hours;4 hours daily;2
3040;29;18 hours/week;34 hours/week;5 hours;5 hours;6 hours daily;3
3041;24;21 hours/week;49 hours/week;7 hours;7 hours;7 hours daily;5
3042;40;16 hours/week;36 hours/week;4 hours;4 hours;7 hours daily;2
3043;28;27 hours/week;50 hours/week;10 hours;10 hours;9 hours daily;5
3044;27;23 hours/week;60 hours/week;8 hours;8 hours;7 hours daily;5
3045;26;20 hours/week;30 hours/week;6 hours;6 hours;6 hours daily;2
3046;31;25 hours/week;45 hours/week;7 hours;7 hours;8 hours daily;5
3047;40;13 hours/week;21 hours/week;1 hours;1 hours;5 hours daily;2
3048;26;15 hours/week;34 hours/week;5 hours;5 hours;7 hours daily;2
3049;34;14 hours/week;31 hours/week;6 hours;6 hours;7 hours daily;4
3050;30;23 hours/week;51 hours/week;7 hours;7 hours;7 hours daily;5
3051;27;21 hours/week;36 hours/week;3 hours;3 hours;7 hours daily;4
3052;39;15 hours/week;35 hours/week;6 hours;6 hours;6 hours daily;3
3053;26;14 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;3
3054;37;7 hours/week;2 hours/week;1 hours;1 hours;5 hours daily;1
3055;20;26 hours/week;46 hours/week;9 hours;9 hours;8 hours daily;5
3056;30;24 hours/week;43 hours/week;7 hours;7 hours;7 hours daily;5
3057;40;11 hours/week;11 hours/week;1 hours;1 hours;6 hours daily;2
3058;37;15 hours/week;38 hours/week;5 hours;5 hours;7 hours daily;3
3059;29;14 hours/week;23 hours/week;0 hours;0 hours;4 hours daily;2
3060;38;16 hours/week;39 hours/week;6 hours;6 hours;6 hours daily;3
3061;20;23 hours/week;46 hours/week;6 hours;6 hours;9 hours daily;5
3062;33;19 hours/week;31 hours/week;5 hours;5 hours;7 hours daily;4
3063;26;22 hours/week;60 hours/week;10 hours;10 hours;9 hours daily;5
3064;34;0 hours/week;29 hours/week;0 hours;0 hours;3 hours daily;2
3065;30;19 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;3
3066;23;17 hours/week;32 hours/week;4 hours;4 hours;7 hours daily;2
3067;25;14 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;3
3068;38;21 hours/week;32 hours/week;2 hours;2 hours;7 hours daily;3
3069;27;2 hours/week;26 hours/week;11 hours;0 hours;6 hours daily;2
3070;27;6 hours/week;26 hours/week;0 hours;0 hours;6 hours daily;2
3071;21;18 hours/week;31 hours/week;5 hours;5 hours;6 hours daily;4
3072;20;4 hours/week;27 hours/week;1 hours;1 hours;6 hours daily;0
3073;27;22 hours/week;43 hours/week;7 hours;7 hours;7 hours daily;5
3074;22;20 hours/week;36 hours/week;4 hours;4 hours;7 hours daily;2
3075;34;15 hours/week;31 hours/week;2 hours;2 hours;6 hours daily;4
3076;33;27 hours/week;41 hours/week;7 hours;7 hours;7 hours daily;5
3077;37;0 hours/week;18 hours/week;2 hours;2 hours;5 hours daily;2
3078;26;16 hours/week;32 hours/week;4 hours;4 hours;7 hours daily;4
3079;21;6 hours/week;27 hours/week;2 hours;2 hours;6 hours daily;2
3080;24;14 hours/week;26 hours/week;0 hours;0 hours;6 hours daily;2
3081;27;16 hours/week;37 hours/week;3 hours;3 hours;7 hours daily;2
3082;36;19 hours/week;37 hours/week;5 hours;5 hours;7 hours daily;3
3083;34;19 hours/week;33 hours/week;6 hours;6 hours;7 hours daily;4
3084;38;19 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;4
3085;33;2 hours/week;12 hours/week;0 hours;0 hours;4 hours daily;2
3086;28;12 hours/week;12 hours/week;0 hours;0 hours;4 hours daily;2
3087;33;22 hours/week;58 hours/week;7 hours;7 hours;7 hours daily;5
3088;38;15 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;2
3089;34;23 hours/week;52 hours/week;6 hours;6 hours;9 hours daily;5
3090;25;22 hours/week;60 hours/week;11 hours;9 hours;7 hours daily;5
3091;31;16 hours/week;31 hours/week;5 hours;5 hours;7 hours daily;3
3092;21;9 hours/week;4 hours/week;1 hours;1 hours;3 hours daily;1
3093;35;16 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;3
3094;35;15 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;4
3095;32;13 hours/week;29 hours/week;1 hours;1 hours;6 hours daily;1
3096;23;27 hours/week;50 hours/week;9 hours;9 hours;8 hours daily;5
3097;38;26 hours/week;51 hours/week;10 hours;10 hours;8 hours daily;5
3098;35;28 hours/week;45 hours/week;9 hours;9 hours;7 hours daily;5
3099;36;16 hours/week;35 hours/week;3 hours;3 hours;6 hours daily;3
3100;27;24 hours/week;59 hours/week;9 hours;9 hours;7 hours daily;5
3101;34;0 hours/week;25 hours/week;2 hours;2 hours;3 hours daily;0
3102;34;21 hours/week;36 hours/week;5 hours;5 hours;7 hours daily;2
3103;20;17 hours/week;34 hours/week;4 hours;4 hours;6 hours daily;3
3104;27;16 hours/week;35 hours/week;11 hours;2 hours;6 hours daily;4
3105;37;14 hours/week;29 hours/week;2 hours;2 hours;6 hours daily;2
3106;27;0 hours/week;10 hours/week;2 hours;2 hours;4 hours daily;2
3107;33;16 hours/week;34 hours/week;6 hours;6 hours;6 hours daily;4
3108;31;23 hours/week;49 hours/week;9 hours;9 hours;7 hours daily;5
3109;24;4 hours/week;15 hours/week;0 hours;0 hours;6 hours daily;0
3110;36;16 hours/week;34 hours/week;4 hours;4 hours;7 hours daily;2
3111;36;24 hours/week;55 hours/week;8 hours;8 hours;7 hours daily;5
3112;31;18 hours/week;34 hours/week;2 hours;2 hours;6 hours daily;2
3113;25;17 hours/week;36 hours/week;4 hours;4 hours;7 hours daily;3
3114;20;18 hours/week;30 hours/week;3 hours;3 hours;7 hours daily;2
3115;34;25 hours/week;41 hours/week;6 hours;6 hours;7 hours daily;5
3116;23;12 hours/week;7 hours/week;2 hours;2 hours;3 hours daily;0
3117;26;14 hours/week;32 hours/week;5 hours;5 hours;6 hours daily;4
3118;36;15 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;3
3119;33;26 hours/week;42 hours/week;8 hours;8 hours;9 hours daily;5
3120;32;14 hours/week;38 hours/week;2 hours;2 hours;6 hours daily;3
3121;34;19 hours/week;33 hours/week;11 hours;6 hours;6 hours daily;2
3122;32;27 hours/week;54 hours/week;6 hours;6 hours;9 hours daily;5
3123;36;21 hours/week;60 hours/week;7 hours;7 hours;8 hours daily;5
3124;29;14 hours/week;23 hours/week;0 hours;0 hours;5 hours daily;1
3125;37;28 hours/week;48 hours/week;9 hours;9 hours;9 hours daily;5
3126;30;19 hours/week;39 hours/week;4 hours;4 hours;6 hours daily;2
3127;31;15 hours/week;38 hours/week;11 hours;6 hours;6 hours daily;2
3128;38;15 hours/week;37 hours/week;5 hours;5 hours;7 hours daily;2
3129;21;14 hours/week;34 hours/week;5 hours;5 hours;6 hours daily;3
3130;34;17 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;4
3131;38;28 hours/week;45 hours/week;8 hours;8 hours;9 hours daily;5
3132;26;14 hours/week;39 hours/week;5 hours;5 hours;6 hours daily;4
3133;29;12 hours/week;1 hours/week;1 hours;1 hours;5 hours daily;2
3134;34;16 hours/week;32 hours/week;2 hours;2 hours;7 hours daily;3
3135;25;22 hours/week;47 hours/week;8 hours;8 hours;8 hours daily;5
3136;27;23 hours/week;47 hours/week;9 hours;9 hours;9 hours daily;5
3137;21;26 hours/week;47 hours/week;8 hours;8 hours;7 hours daily;5
3138;31;16 hours/week;36 hours/week;3 hours;3 hours;7 hours daily;2
3139;31;15 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;2
3140;37;18 hours/week;39 hours/week;3 hours;3 hours;6 hours daily;3
3141;30;13 hours/week;26 hours/week;2 hours;2 hours;6 hours daily;0
3142;36;17 hours/week;32 hours/week;5 hours;5 hours;6 hours daily;4
3143;27;4 hours/week;18 hours/week;2 hours;2 hours;3 hours daily;1
3144;28;23 hours/week;57 hours/week;8 hours;8 hours;9 hours daily;5
3145;28;23 hours/week;57 hours/week;7 hours;7 hours;8 hours daily;5
3146;29;28 hours/week;57 hours/week;7 hours;7 hours;8 hours daily;5
3147;26;6 hours/week;30 hours/week;2 hours;2 hours;4 hours daily;1
3148;38;21 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;3
3149;33;23 hours/week;45 hours/week;8 hours;8 hours;9 hours daily;5
3150;22;24 hours/week;55 hours/week;9 hours;9 hours;8 hours daily;5
3151;25;28 hours/week;50 hours/week;8 hours;8 hours;7 hours daily;5
3152;34;9 hours/week;16 hours/week;0 hours;0 hours;6 hours daily;1
3153;33;22 hours/week;45 hours/week;7 hours;7 hours;7 hours daily;5
3154;30;19 hours/week;35 hours/week;2 hours;2 hours;6 hours daily;2
3155;38;6 hours/week;0 hours/week;11 hours;1 hours;3 hours daily;0
3156;33;10 hours/week;15 hours/week;1 hours;1 hours;5 hours daily;0
3157;40;14 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;4
3158;31;27 hours/week;50 hours/week;7 hours;7 hours;7 hours daily;5
3159;35;9 hours/week;13 hours/week;0 hours;0 hours;5 hours daily;1
3160;40;28 hours/week;56 hours/week;10 hours;10 hours;9 hours daily;5
